"Fecha Hora","Fecha Hora(RAW)","Trafico suma (volumen)","Trafico suma (volumen)(RAW)","Trafico suma (velocidad)","Trafico suma (velocidad)(RAW)","Trafico in (volumen)","Trafico in (volumen)(RAW)","Trafico in (velocidad)","Trafico in (velocidad)(RAW)","Trafico out (volumen)","Trafico out (volumen)(RAW)","Trafico out (velocidad)","Trafico out (velocidad)(RAW)","Downtime","Downtime(RAW)","Cobertura","Cobertura(RAW)"
"22.08.2018 01:00:00 AM - 02:00:00 AM","43334.2916666667","3,128,176 KByte","3203252003.6731","7,119 kbit/s","889863.9067","2,831,744 KByte","2899705577.0423","6,444 kbit/s","805538.6620","296,432 KByte","303546426.6308","675 kbit/s","84325.2447","0 %","0.0000","100 %","0000009999"
"22.08.2018 02:00:00 AM - 03:00:00 AM","43334.3333333333","2,891,350 KByte","2960741974.1564","6,580 kbit/s","822496.8676","2,725,741 KByte","2791159070.6521","6,203 kbit/s","775386.5796","165,608 KByte","169582903.5043","377 kbit/s","47110.2879","0 %","0.0000","100 %","0000009999"
"22.08.2018 03:00:00 AM - 04:00:00 AM","43334.3750000000","1,709,057 KByte","1750074784.3857","3,889 kbit/s","486175.1001","1,603,602 KByte","1642087993.3184","3,649 kbit/s","456176.1027","105,456 KByte","107986791.0673","240 kbit/s","29998.9974","0 %","0.0000","100 %","0000009999"
"22.08.2018 04:00:00 AM - 05:00:00 AM","43334.4166666667","1,877,797 KByte","1922864058.8100","4,273 kbit/s","534173.4197","1,806,120 KByte","1849467042.1557","4,110 kbit/s","513783.6603","71,677 KByte","73397016.6543","163 kbit/s","20389.7593","0 %","0.0000","100 %","0000009999"
"22.08.2018 05:00:00 AM - 06:00:00 AM","43334.4583333333","1,722,769 KByte","1764115688.6308","3,921 kbit/s","490071.6137","1,478,508 KByte","1513991903.5262","3,365 kbit/s","420587.1872","244,262 KByte","250123785.1047","556 kbit/s","69484.4266","0 %","0.0000","100 %","0000009999"
"22.08.2018 06:00:00 AM - 07:00:00 AM","43334.5000000000","54,610,549 KByte","55921202501.1189","124,281 kbit/s","15535091.4115","50,700,753 KByte","51917571348.0226","115,383 kbit/s","14422869.6931","3,909,796 KByte","4003631153.0964","8,898 kbit/s","1112221.7184","0 %","0.0000","100 %","0000009999"
"22.08.2018 07:00:00 AM - 08:00:00 AM","43334.5416666667","129,800,760 KByte","132915977966.9850","295,393 kbit/s","36924079.4306","114,442,885 KByte","117189513866.9457","260,442 kbit/s","32555265.2483","15,357,875 KByte","15726464100.0393","34,951 kbit/s","4368814.1823","0 %","0.0000","100 %","0000009999"
"22.08.2018 08:00:00 AM - 09:00:00 AM","43334.5833333333","144,105,090 KByte","147563612609.8448","327,945 kbit/s","40993080.7423","129,550,042 KByte","132659242861.1228","294,821 kbit/s","36852656.0013","14,555,049 KByte","14904369748.7220","33,123 kbit/s","4140424.7410","0 %","0.0000","100 %","0000009999"
"22.08.2018 09:00:00 AM - 10:00:00 AM","43334.6250000000","207,609,177 KByte","212591796799.0617","472,473 kbit/s","59059182.8069","157,391,711 KByte","161169111737.4430","358,189 kbit/s","44773675.0724","50,217,466 KByte","51422685061.6187","114,284 kbit/s","14285507.7346","0 %","0.0000","100 %","0000009999"
"22.08.2018 10:00:00 AM - 11:00:00 AM","43334.6666666667","225,089,606 KByte","230491756980.8152","512,247 kbit/s","64030823.9522","162,761,149 KByte","166667416474.1278","370,403 kbit/s","46300362.9397","62,328,458 KByte","63824340506.6874","141,844 kbit/s","17730461.0125","0 %","0.0000","100 %","0000009999"
"22.08.2018 11:00:00 AM - 12:00:00 PM","43334.7083333333","232,118,811 KByte","237689662362.7125","528,243 kbit/s","66030408.7459","179,411,299 KByte","183717169932.8842","408,294 kbit/s","51036800.2703","52,707,512 KByte","53972492429.8284","119,949 kbit/s","14993608.4757","0 %","0.0000","100 %","0000009999"
"22.08.2018 12:00:00 PM - 01:00:00 PM","43334.7500000000","193,353,701 KByte","197994189768.6809","440,027 kbit/s","55003428.0278","161,966,959 KByte","165854165682.8549","368,599 kbit/s","46074825.1042","31,386,742 KByte","32140024085.8260","71,429 kbit/s","8928602.9236","0 %","0.0000","100 %","0000009999"
"22.08.2018 01:00:00 PM - 02:00:00 PM","43334.7916666667","180,754,942 KByte","185093060433.4743","411,358 kbit/s","51419738.1505","143,844,640 KByte","147296911636.3957","327,358 kbit/s","40919787.1005","36,910,302 KByte","37796148797.0785","84,000 kbit/s","10499951.0500","0 %","0.0000","100 %","0000009999"
"22.08.2018 02:00:00 PM - 03:00:00 PM","43334.8333333333","188,737,943 KByte","193267653455.3368","429,519 kbit/s","53689933.4543","167,454,022 KByte","171472918504.6618","381,083 kbit/s","47635335.8626","21,283,921 KByte","21794734950.6750","48,437 kbit/s","6054597.5917","0 %","0.0000","100 %","0000009999"
"22.08.2018 03:00:00 PM - 04:00:00 PM","43334.8750000000","219,609,983 KByte","224880623018.0920","499,776 kbit/s","62472045.7311","200,713,507 KByte","205530631082.9590","456,773 kbit/s","57096600.0175","18,896,476 KByte","19349991935.1331","43,004 kbit/s","5375445.7136","0 %","0.0000","100 %","0000009999"
"22.08.2018 04:00:00 PM - 05:00:00 PM","43334.9166666667","219,008,224 KByte","224264421534.4105","498,406 kbit/s","62300691.3152","197,528,173 KByte","202268848872.0337","449,523 kbit/s","56190317.7956","21,480,051 KByte","21995572662.3768","48,883 kbit/s","6110373.5196","0 %","0.0000","100 %","0000009999"
"22.08.2018 05:00:00 PM - 06:00:00 PM","43334.9583333333","216,162,365 KByte","221350262041.9380","491,935 kbit/s","61491820.6508","195,260,764 KByte","199947022208.4663","444,367 kbit/s","55545931.2127","20,901,601 KByte","21403239833.4717","47,567 kbit/s","5945889.4381","0 %","0.0000","100 %","0000009999"
"22.08.2018 06:00:00 PM - 07:00:00 PM","43335.0000000000","218,365,042 KByte","223605802542.9034","496,947 kbit/s","62118417.1168","190,326,814 KByte","194894657127.5161","433,139 kbit/s","54142367.8080","28,038,228 KByte","28711145415.3872","63,808 kbit/s","7976049.3088","0 %","0.0000","100 %","0000009999"
"22.08.2018 07:00:00 PM - 08:00:00 PM","43335.0416666667","207,105,707 KByte","212076243772.2140","471,324 kbit/s","58915468.2991","180,454,889 KByte","184785806448.9380","410,673 kbit/s","51334096.3058","26,650,818 KByte","27290437323.2760","60,651 kbit/s","7581371.9933","0 %","0.0000","100 %","0000009999"
"22.08.2018 08:00:00 PM - 09:00:00 PM","43335.0833333333","162,060,014 KByte","165949453980.8098","368,808 kbit/s","46101040.3620","144,172,164 KByte","147632295761.2353","328,100 kbit/s","41012502.6770","17,887,850 KByte","18317158219.5745","40,708 kbit/s","5088537.6851","0 %","0.0000","100 %","0000009999"
"22.08.2018 09:00:00 PM - 10:00:00 PM","43335.1250000000","97,908,848 KByte","100258660317.7771","222,814 kbit/s","27851794.1167","87,627,442 KByte","89730500508.1580","199,417 kbit/s","24927077.8028","10,281,406 KByte","10528159809.6191","23,398 kbit/s","2924716.3139","0 %","0.0000","100 %","0000009999"
"22.08.2018 10:00:00 PM - 11:00:00 PM","43335.1666666667","7,294,662 KByte","7469733419.4858","16,601 kbit/s","2075104.6394","4,487,144 KByte","4594835319.8629","10,212 kbit/s","1276453.0612","2,807,518 KByte","2874898099.6229","6,389 kbit/s","798651.5782","0 %","0.0000","100 %","0000009999"
"22.08.2018 11:00:00 PM - 12:00:00 AM","43335.2083333333","2,919,502 KByte","2989570400.2190","6,644 kbit/s","830507.7382","2,502,143 KByte","2562194662.6115","5,694 kbit/s","711782.0320","417,359 KByte","427375737.6075","950 kbit/s","118725.7063","0 %","0.0000","100 %","0000009999"
"23.08.2018 12:00:00 AM - 01:00:00 AM","43335.2500000000","2,679,493 KByte","2743801026.2123","6,098 kbit/s","762234.7059","2,131,448 KByte","2182603076.9283","4,851 kbit/s","606332.5287","548,045 KByte","561197949.2840","1,247 kbit/s","155902.1772","0 %","0.0000","100 %","0000009999"
"23.08.2018 01:00:00 AM - 02:00:00 AM","43335.2916666667","1,958,001 KByte","2004993071.6147","4,456 kbit/s","556990.4830","1,297,627 KByte","1328770542.3150","2,953 kbit/s","369134.7150","660,374 KByte","676222529.2997","1,503 kbit/s","187855.7679","0 %","0.0000","100 %","0000009999"
"23.08.2018 02:00:00 AM - 03:00:00 AM","43335.3333333333","2,289,616 KByte","2344567211.9600","5,211 kbit/s","651328.3751","2,157,197 KByte","2208969487.0526","4,909 kbit/s","613658.8874","132,420 KByte","135597724.9074","301 kbit/s","37669.4877","0 %","0.0000","100 %","0000009999"
"23.08.2018 03:00:00 AM - 04:00:00 AM","43335.3750000000","2,086,685 KByte","2136765444.0325","4,749 kbit/s","593598.7210","1,999,721 KByte","2047714043.7348","4,551 kbit/s","568860.0219","86,964 KByte","89051400.2977","198 kbit/s","24738.6991","0 %","0.0000","100 %","0000009999"
"23.08.2018 04:00:00 AM - 05:00:00 AM","43335.4166666667","920,168 KByte","942252519.9175","2,094 kbit/s","261759.3515","863,229 KByte","883946951.3702","1,964 kbit/s","245561.9654","56,939 KByte","58305568.5473","130 kbit/s","16197.3860","0 %","0.0000","100 %","0000009999"
"23.08.2018 05:00:00 AM - 06:00:00 AM","43335.4583333333","1,162,787 KByte","1190694091.6580","2,646 kbit/s","330778.6802","1,085,862 KByte","1111922599.4603","2,471 kbit/s","308895.7042","76,925 KByte","78771492.1976","175 kbit/s","21882.9760","0 %","0.0000","100 %","0000009999"
"23.08.2018 06:00:00 AM - 07:00:00 AM","43335.5000000000","59,294,998 KByte","60718077772.1188","134,941 kbit/s","16867585.2010","55,820,560 KByte","57160253356.3594","127,034 kbit/s","15879215.5314","3,474,438 KByte","3557824415.7594","7,907 kbit/s","988369.6695","0 %","0.0000","100 %","0000009999"
"23.08.2018 07:00:00 AM - 08:00:00 AM","43335.5416666667","133,838,148 KByte","137050263321.8058","304,582 kbit/s","38072796.0802","117,842,923 KByte","120671153231.2301","268,181 kbit/s","33522651.4592","15,995,225 KByte","16379110090.5757","36,401 kbit/s","4550144.6209","0 %","0.0000","100 %","0000009999"
"23.08.2018 08:00:00 AM - 09:00:00 AM","43335.5833333333","147,124,117 KByte","150655095746.2556","334,814 kbit/s","41851776.5905","131,047,056 KByte","134192185791.0227","298,227 kbit/s","37278403.0444","16,077,061 KByte","16462909955.2329","36,587 kbit/s","4573373.5461","0 %","0.0000","100 %","0000009999"
